benefit,column,non_empty_rows,matched_multiple_benefits
homeoffice,Homeoffice,426,
leave,maternity_leave,1396,
leave,maternity_note,1421,
leave,maternity_pay,1220,
leave,vacation_note,1552,
leave,vacation_time,1525,
leave,vacation_unit,1530,
overtime,max_hrs,1477,
overtime,min_hrs,1009,
overtime,overtime_allowance_max,969,
overtime,overtime_allowance_min,1233,
overtime,overtime_compensation,1565,
overtime,shift_compensation,1551,
pension,pension_age_group,680,
pension,pension_premium_basic,1529,
pension,pension_premium_plus,1214,
pension,retire_age_basic,1474,
pension,retire_age_plus,826,
termination,probation_note,1327,
termination,probation_period,1350,
termination,term_employer_note,1541,
termination,term_period_employer,1477,
termination,term_period_worker,1424,
termination,term_worker_note,1425,
training,training,1575,
